time anode_char cathode_char
1440 1.00307818099153 -1.00307818099153
1450 1.00398237873264 -1.00398237873265
1460 1.00452490270794 -1.00452490270794
1470 1.00464662852866 -1.00464662852866
1480 1.00431037798786 -1.00431037798786
1490 1.00350021507802 -1.00350021507802
1500 1.00222140603286 -1.00222140603286
1510 1.00050013684378 -1.00050013684378
1520 0.998380035633842 -0.998380035633843
1530 0.995914457586252 -0.99591445758625
1540 0.993156205343341 -0.99315620534334
1550 0.990149892589317 -0.99014989258932
1560 0.986934330367936 -0.986934330367936
1570 0.983554883481254 -0.983554883481255
1580 0.980073756579705 -0.980073756579705
1590 0.976568088535768 -0.976568088535772
1600 0.973120653374469 -0.97312065337447
1610 0.96981441567555 -0.96981441567555
1620 0.966734075970645 -0.966734075970646
1630 0.963969059291305 -0.963969059291303
1640 0.961613110285691 -0.961613110285691
1650 0.959755269707172 -0.959755269707172
1660 0.95845705699202 -0.958457056992022
1670 0.95773108811341 -0.957731088113411
1680 0.957546251135508 -0.95754625113551
1690 0.957849365869611 -0.957849365869614
1700 0.958579014687925 -0.958579014687924
1710 0.959672700837054 -0.959672700837058
1720 0.961075235032435 -0.961075235032433
1730 0.962745182695853 -0.962745182695851
1740 0.964651279856476 -0.964651279856476
1750 0.966758309945565 -0.966758309945565
1760 0.969018154763598 -0.969018154763603
1770 0.971381838138012 -0.971381838138012
1780 0.97382192825615 -0.973821928256151
1790 0.976339547970727 -0.976339547970732
1800 0.978950419240181 -0.978950419240182
1810 0.98166708075827 -0.981667080758272
1820 0.984490755030446 -0.984490755030446
1830 0.98741008297827 -0.987410082978267
1840 0.990403136193601 -0.990403136193607
1850 0.993442516890677 -0.993442516890677
1860 0.99650081846043 -0.996500818460431
1870 0.999551770762566 -0.999551770762567
1880 1.00256191909146 -1.00256191909146
1890 1.00547832134516 -1.00547832134517
1900 1.00823565798108 -1.00823565798108
1910 1.01079121130683 -1.01079121130683
1920 1.01315058972407 -1.01315058972407
1930 1.015349747027 -1.015349747027
1940 1.01741967422181 -1.01741967422181
1950 1.0193771112959 -1.0193771112959
1960 1.02124199267227 -1.02124199267227
1970 1.02305199933436 -1.02305199933436
1980 1.02485826433243 -1.02485826433243
1990 1.02671038600429 -1.02671038600429
2000 1.02864396895929 -1.02864396895928
2010 1.03068639313391 -1.03068639313391
2020 1.0328840636716 -1.0328840636716
2030 1.03530779894736 -1.03530779894736
2040 1.03802208411639 -1.03802208411639
2050 1.04106751298905 -1.04106751298906
2060 1.04446855492391 -1.04446855492391
2070 1.04824376074946 -1.04824376074946
2080 1.05240417035311 -1.05240417035311
2090 1.05694115994639 -1.05694115994639
2100 1.06181628815688 -1.06181628815688
2110 1.06696382619298 -1.06696382619298
2120 1.07230163867924 -1.07230163867924
2130 1.07774209180559 -1.07774209180559
2140 1.08320299120254 -1.08320299120254
2150 1.0886180522038 -1.0886180522038
2160 1.09394436930714 -1.09394436930714
