# Chunk-averaged data for fix chunk2 and group anion
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
5000 272 16320
  229 46.25 2.80392 0.00506269
  230 46.75 0.745098 0.00134533
  231 47.25 0.313725 0.000566455
  232 47.75 0.0196078 3.54034e-05
  233 48.25 0.294118 0.000531052
  234 48.75 0.686275 0.00123912
  235 49.25 0.862745 0.00155775
  236 49.75 0.843137 0.00152235
  237 50.25 1.47059 0.00265526
  238 50.75 6.56863 0.0118602
  239 51.25 5.21569 0.00941732
  240 51.75 0.0588235 0.00010621
  241 52.25 0 0
  242 52.75 0 0
  243 53.25 0 0
  244 53.75 0 0
  245 54.25 0 0
  246 54.75 0 0
  247 55.25 0 0
  248 55.75 0 0
  249 56.25 0 0
  250 56.75 0 0
  251 57.25 0 0
  252 57.75 0 0
  253 58.25 0 0
  254 58.75 0 0
  255 59.25 0 0
  256 59.75 0 0
  257 60.25 0 0
  258 60.75 0 0
  259 61.25 0 0
  260 61.75 0 0
  261 62.25 0 0
  262 62.75 0 0
  263 63.25 0 0
  264 63.75 0 0
  265 64.25 0 0
  266 64.75 0 0
  267 65.25 0 0
  268 65.75 0 0
  269 66.25 0 0
  270 66.75 0 0
  271 67.25 0 0
  272 67.75 0 0
